feature_name,weight,abs_weight,rank
latent_3279,-0.00044777527,0.00044777527,2177
latent_2988,-0.00044777247,0.00044777247,2178
latent_2296,-0.00044742017,0.00044742017,2179
latent_132,0.00044731045,0.00044731045,2180
latent_3455,0.0004470907,0.0004470907,2181
latent_4005,-0.00044702124,0.00044702124,2182
latent_2590,-0.00044682127,0.00044682127,2183
latent_3989,-0.00044678067,0.00044678067,2184
latent_2162,0.00044661437,0.00044661437,2185
latent_3043,-0.0004463457,0.0004463457,2186
latent_746,0.00044607624,0.00044607624,2187
latent_3173,0.0004458024,0.0004458024,2188
latent_3996,0.00044572444,0.00044572444,2189
latent_2832,0.00044557522,0.00044557522,2190
latent_2411,-0.00044550074,0.00044550074,2191
latent_2157,-0.00044514934,0.00044514934,2192
latent_2434,0.00044408892,0.00044408892,2193
latent_447,0.00044381648,0.00044381648,2194
latent_3092,0.00044366077,0.00044366077,2195
latent_3218,-0.00044294455,0.00044294455,2196
latent_1451,0.00044283853,0.00044283853,2197
latent_3862,-0.00044282625,0.00044282625,2198
latent_4004,-0.00044237287,0.00044237287,2199
latent_1408,0.00044192447,0.00044192447,2200
latent_177,0.0004419112,0.0004419112,2201
latent_2178,0.00044125688,0.00044125688,2202
latent_423,-0.0004412104,0.0004412104,2203
latent_3169,-0.00044071412,0.00044071412,2204
latent_2082,0.0004402936,0.0004402936,2205
latent_2375,-0.00044011584,0.00044011584,2206
latent_2489,-0.0004396172,0.0004396172,2207
latent_1274,-0.00043831608,0.00043831608,2208
latent_3838,-0.00043804364,0.00043804364,2209
latent_3571,-0.0004372848,0.0004372848,2210
latent_438,0.00043592224,0.00043592224,2211
latent_481,0.00043549118,0.00043549118,2212
latent_3145,0.00043538987,0.00043538987,2213
latent_3378,0.00043528865,0.00043528865,2214
latent_767,-0.00043498777,0.00043498777,2215
latent_1852,-0.00043480485,0.00043480485,2216
latent_1018,-0.00043473195,0.00043473195,2217
latent_2935,0.00043459586,0.00043459586,2218
latent_1647,-0.0004345647,0.0004345647,2219
latent_3759,-0.00043451952,0.00043451952,2220
latent_1887,-0.00043426856,0.00043426856,2221
latent_2975,-0.00043422755,0.00043422755,2222
latent_2268,0.0004340112,0.0004340112,2223
latent_2669,0.00043365828,0.00043365828,2224
latent_69,0.00043358875,0.00043358875,2225
latent_1324,-0.00043346095,0.00043346095,2226
latent_1244,-0.00043305464,0.00043305464,2227
latent_1021,0.00043304331,0.00043304331,2228
latent_806,-0.0004330225,0.0004330225,2229
latent_270,0.00043265906,0.00043265906,2230
latent_2744,-0.00043258996,0.00043258996,2231
latent_1713,-0.00043216156,0.00043216156,2232
latent_719,-0.00043214648,0.00043214648,2233
latent_1315,-0.0004321054,0.0004321054,2234
latent_1747,-0.00043199534,0.00043199534,2235
latent_3738,-0.00043168222,0.00043168222,2236
latent_960,-0.0004307121,0.0004307121,2237
latent_2663,-0.00043070686,0.00043070686,2238
latent_2207,-0.0004299909,0.0004299909,2239
latent_1057,0.00042952455,0.00042952455,2240
latent_1570,-0.00042898385,0.00042898385,2241
latent_1727,-0.00042861613,0.00042861613,2242
latent_1584,-0.00042848356,0.00042848356,2243
latent_260,0.00042801414,0.00042801414,2244
latent_1129,-0.00042698713,0.00042698713,2245
latent_3796,-0.00042661934,0.00042661934,2246
latent_1009,0.00042629495,0.00042629495,2247
latent_416,0.0004259445,0.0004259445,2248
latent_14,0.0004253576,0.0004253576,2249
latent_3552,0.0004249031,0.0004249031,2250
latent_3813,-0.0004248139,0.0004248139,2251
latent_860,0.0004237866,0.0004237866,2252
latent_921,-0.00042352526,0.00042352526,2253
latent_3302,-0.00042343192,0.00042343192,2254
latent_3693,-0.0004232604,0.0004232604,2255
latent_2263,0.00042308462,0.00042308462,2256
latent_1417,-0.00042289522,0.00042289522,2257
latent_2499,-0.00042288925,0.00042288925,2258
latent_1675,-0.0004228791,0.0004228791,2259
latent_3579,0.0004227317,0.0004227317,2260
latent_3421,0.00042266096,0.00042266096,2261
latent_0,-0.000422633,0.000422633,2262
latent_26,-0.00042262333,0.00042262333,2263
latent_3781,0.0004222365,0.0004222365,2264
latent_2652,-0.00042202946,0.00042202946,2265
latent_616,0.0004215271,0.0004215271,2266
latent_3875,0.00042090955,0.00042090955,2267
latent_2510,-0.0004206947,0.0004206947,2268
latent_1030,-0.00042061342,0.00042061342,2269
latent_3591,0.0004205688,0.0004205688,2270
latent_850,-0.0004198715,0.0004198715,2271
latent_199,-0.00041974543,0.00041974543,2272
latent_2922,-0.00041969013,0.00041969013,2273
latent_2588,-0.00041963952,0.00041963952,2274
latent_724,-0.000419344,0.000419344,2275
latent_1283,-0.00041889196,0.00041889196,2276
latent_2424,-0.00041855755,0.00041855755,2277
latent_1328,-0.00041819448,0.00041819448,2278
latent_1226,0.00041816002,0.00041816002,2279
latent_3077,0.00041784073,0.00041784073,2280
latent_65,-0.000417763,0.000417763,2281
latent_1091,-0.00041776177,0.00041776177,2282
latent_3505,-0.0004177213,0.0004177213,2283
latent_3495,0.00041587173,0.00041587173,2284
latent_530,-0.00041553623,0.00041553623,2285
latent_3473,0.00041525057,0.00041525057,2286
latent_3377,-0.00041505456,0.00041505456,2287
latent_3491,0.00041465944,0.00041465944,2288
latent_33,-0.00041457143,0.00041457143,2289
latent_67,0.00041378403,0.00041378403,2290
latent_3181,-0.0004130501,0.0004130501,2291
latent_1046,0.00041276056,0.00041276056,2292
latent_2563,-0.0004124187,0.0004124187,2293
latent_722,0.00041208355,0.00041208355,2294
latent_3891,-0.00041124402,0.00041124402,2295
latent_1866,-0.0004112249,0.0004112249,2296
latent_235,-0.00041080298,0.00041080298,2297
latent_617,0.00041075982,0.00041075982,2298
latent_3386,0.00041066404,0.00041066404,2299
latent_1741,-0.00040964416,0.00040964416,2300
latent_3508,0.00040880518,0.00040880518,2301
latent_1996,0.00040860265,0.00040860265,2302
latent_229,-0.00040842706,0.00040842706,2303
latent_979,-0.000408378,0.000408378,2304
latent_1550,0.0004082691,0.0004082691,2305
latent_3993,0.0004081558,0.0004081558,2306
latent_1214,-0.00040805025,0.00040805025,2307
latent_2012,0.00040793387,0.00040793387,2308
latent_763,0.00040778372,0.00040778372,2309
latent_180,-0.00040751166,0.00040751166,2310
latent_1703,-0.00040733095,0.00040733095,2311
latent_491,0.00040715467,0.00040715467,2312
latent_1946,-0.0004060393,0.0004060393,2313
latent_1712,0.00040555347,0.00040555347,2314
latent_1399,-0.00040550434,0.00040550434,2315
latent_3097,-0.00040542902,0.00040542902,2316
latent_1066,-0.0004048974,0.0004048974,2317
latent_1809,0.00040488475,0.00040488475,2318
latent_4042,0.00040477572,0.00040477572,2319
latent_2261,-0.00040458728,0.00040458728,2320
latent_1665,-0.00040454319,0.00040454319,2321
latent_3887,-0.00040422066,0.00040422066,2322
latent_1858,0.00040344126,0.00040344126,2323
latent_3167,-0.00040298825,0.00040298825,2324
latent_3528,-0.00040284736,0.00040284736,2325
latent_13,0.00040281934,0.00040281934,2326
latent_3645,-0.0004025301,0.0004025301,2327
latent_2739,-0.00040203816,0.00040203816,2328
latent_4045,0.00040160932,0.00040160932,2329
latent_3790,-0.0004008883,0.0004008883,2330
latent_1188,-0.0004006123,0.0004006123,2331
latent_3977,-0.00040000273,0.00040000273,2332
latent_3062,0.0003999258,0.0003999258,2333
latent_2383,0.00039990924,0.00039990924,2334
latent_168,-0.00039918703,0.00039918703,2335
latent_1263,0.00039850088,0.00039850088,2336
latent_1906,-0.00039844008,0.00039844008,2337
latent_2277,-0.00039715992,0.00039715992,2338
latent_1563,-0.0003970831,0.0003970831,2339
latent_898,-0.00039694807,0.00039694807,2340
latent_1304,0.00039597932,0.00039597932,2341
latent_3572,0.00039575124,0.00039575124,2342
latent_2287,0.0003956907,0.0003956907,2343
latent_66,-0.00039540377,0.00039540377,2344
latent_2382,0.00039534573,0.00039534573,2345
latent_1351,0.00039383525,0.00039383525,2346
latent_1248,0.00039362762,0.00039362762,2347
latent_499,-0.00039347744,0.00039347744,2348
latent_950,0.00039280325,0.00039280325,2349
latent_2601,0.0003926584,0.0003926584,2350
latent_836,0.0003925737,0.0003925737,2351
latent_3083,0.0003924394,0.0003924394,2352
latent_880,-0.00039200403,0.00039200403,2353
latent_383,0.00039189443,0.00039189443,2354
latent_1347,-0.00039152362,0.00039152362,2355
latent_3154,0.00039102903,0.00039102903,2356
latent_824,-0.00039078825,0.00039078825,2357
latent_1841,-0.00039076502,0.00039076502,2358
latent_541,0.00039071232,0.00039071232,2359
latent_1772,0.00039050894,0.00039050894,2360
latent_2351,-0.00039047757,0.00039047757,2361
latent_3010,0.00039045833,0.00039045833,2362
latent_1586,0.0003904244,0.0003904244,2363
latent_2379,0.00039016048,0.00039016048,2364
latent_2534,0.00039012864,0.00039012864,2365
latent_2507,0.00038988108,0.00038988108,2366
latent_3976,-0.00038937663,0.00038937663,2367
latent_3701,-0.00038863713,0.00038863713,2368
latent_3915,-0.0003885831,0.0003885831,2369
latent_1215,0.00038849222,0.00038849222,2370
latent_141,0.0003879847,0.0003879847,2371
latent_1998,-0.00038791943,0.00038791943,2372
latent_208,-0.00038785662,0.00038785662,2373
latent_986,-0.00038695944,0.00038695944,2374
latent_1004,-0.00038683304,0.00038683304,2375
latent_631,-0.0003865147,0.0003865147,2376
latent_980,0.00038587488,0.00038587488,2377
latent_3641,-0.00038578978,0.00038578978,2378
latent_3382,-0.00038549627,0.00038549627,2379
latent_2730,0.00038534947,0.00038534947,2380
latent_3038,-0.00038507208,0.00038507208,2381
latent_2086,0.0003846594,0.0003846594,2382
latent_2736,0.00038456856,0.00038456856,2383
latent_1834,0.0003842026,0.0003842026,2384
latent_1942,0.00038408733,0.00038408733,2385
latent_3691,-0.00038398532,0.00038398532,2386
latent_239,-0.00038374486,0.00038374486,2387
latent_3889,0.00038368726,0.00038368726,2388
latent_271,-0.00038360813,0.00038360813,2389
latent_2395,-0.0003835278,0.0003835278,2390
latent_2706,-0.00038334943,0.00038334943,2391
latent_3067,-0.00038250588,0.00038250588,2392
latent_1103,0.0003822993,0.0003822993,2393
