feature_name,weight,abs_weight,rank
latent_125,0.00028490924,0.00028490924,3388
latent_407,0.0002848303,0.0002848303,3389
latent_3673,0.00028459847,0.00028459847,3390
latent_1946,0.00028424273,0.00028424273,3391
latent_2348,-0.0002833944,0.0002833944,3392
latent_2802,0.00028309104,0.00028309104,3393
latent_2115,0.00028303248,0.00028303248,3394
latent_4034,0.00027970926,0.00027970926,3395
latent_3430,0.00027957017,0.00027957017,3396
latent_3464,0.00027935518,0.00027935518,3397
latent_2260,0.00027890832,0.00027890832,3398
latent_3429,0.00027781999,0.00027781999,3399
latent_1555,-0.00027778695,0.00027778695,3400
latent_657,-0.0002776431,0.0002776431,3401
latent_2472,-0.0002759471,0.0002759471,3402
latent_3235,0.00027478443,0.00027478443,3403
latent_2591,0.00027376937,0.00027376937,3404
latent_104,0.00027338965,0.00027338965,3405
latent_3374,0.00027322795,0.00027322795,3406
latent_3612,-0.00027301308,0.00027301308,3407
latent_3155,0.00027031146,0.00027031146,3408
latent_2514,0.00026992368,0.00026992368,3409
latent_3932,-0.00026988625,0.00026988625,3410
latent_536,-0.00026929533,0.00026929533,3411
latent_756,-0.00026902225,0.00026902225,3412
latent_201,-0.00026856217,0.00026856217,3413
latent_1215,0.00026736627,0.00026736627,3414
latent_718,-0.00026704193,0.00026704193,3415
latent_195,-0.00026643198,0.00026643198,3416
latent_1145,-0.00026616605,0.00026616605,3417
latent_1061,-0.00026614201,0.00026614201,3418
latent_2090,0.00026602639,0.00026602639,3419
latent_3016,0.00026522984,0.00026522984,3420
latent_1729,0.00026480173,0.00026480173,3421
latent_35,-0.00026433278,0.00026433278,3422
latent_3970,-0.00026355663,0.00026355663,3423
latent_2782,0.00026326225,0.00026326225,3424
latent_1948,0.00026311885,0.00026311885,3425
latent_1711,-0.0002630271,0.0002630271,3426
latent_2950,0.0002622691,0.0002622691,3427
latent_1420,-0.00026218704,0.00026218704,3428
latent_397,0.0002621251,0.0002621251,3429
latent_2401,-0.00026156797,0.00026156797,3430
latent_501,0.00026110918,0.00026110918,3431
latent_2081,-0.00026101503,0.00026101503,3432
latent_1684,0.00025973338,0.00025973338,3433
latent_369,0.00025876984,0.00025876984,3434
latent_3764,-0.00025866996,0.00025866996,3435
latent_1775,0.00025832356,0.00025832356,3436
latent_1741,-0.00025804708,0.00025804708,3437
latent_2456,-0.0002580089,0.0002580089,3438
latent_210,-0.00025759768,0.00025759768,3439
latent_3735,-0.00025756907,0.00025756907,3440
latent_1173,-0.0002573048,0.0002573048,3441
latent_1509,0.00025713455,0.00025713455,3442
latent_538,0.00025606496,0.00025606496,3443
latent_2877,0.00025550387,0.00025550387,3444
latent_396,0.00025474525,0.00025474525,3445
latent_1899,0.00025438934,0.00025438934,3446
latent_3020,0.00025404253,0.00025404253,3447
latent_1534,0.00025373927,0.00025373927,3448
latent_1452,0.00025361672,0.00025361672,3449
latent_1692,0.00025328828,0.00025328828,3450
latent_4079,-0.0002532404,0.0002532404,3451
latent_3449,-0.0002529096,0.0002529096,3452
latent_2730,0.00025268114,0.00025268114,3453
latent_3182,0.00025260926,0.00025260926,3454
latent_2805,0.00025200273,0.00025200273,3455
latent_812,-0.00025045034,0.00025045034,3456
latent_256,0.00024983572,0.00024983572,3457
latent_2468,0.00024977367,0.00024977367,3458
latent_1276,0.00024956904,0.00024956904,3459
latent_1013,-0.00024953272,0.00024953272,3460
latent_597,0.00024929104,0.00024929104,3461
latent_2290,0.0002490379,0.0002490379,3462
latent_432,0.00024901124,0.00024901124,3463
latent_2142,0.00024849764,0.00024849764,3464
latent_2458,0.00024848842,0.00024848842,3465
latent_2933,-0.00024812698,0.00024812698,3466
latent_2085,-0.00024807698,0.00024807698,3467
latent_910,0.00024792016,0.00024792016,3468
latent_2162,0.00024678325,0.00024678325,3469
latent_3625,-0.000246318,0.000246318,3470
latent_79,0.00024610903,0.00024610903,3471
latent_3945,-0.00024595816,0.00024595816,3472
latent_466,-0.00024566092,0.00024566092,3473
latent_406,0.0002454188,0.0002454188,3474
latent_1953,0.00024333975,0.00024333975,3475
latent_3623,0.00024224055,0.00024224055,3476
latent_3694,-0.00024169819,0.00024169819,3477
latent_1007,0.00024157125,0.00024157125,3478
